Distrito;NOME;display_name;quantidade;soma;media;desvpad popul;desvpad amostral;QTLINBUS2018;KMLINBUS/are2018;QTPONTBUS2018;QTESTMETRO2018;RENDP2010;ARE1;POP2018;DENPOP2018;DOMP2018;ESTAB2016;EMP2016;PNBRAN2010;tempo_medio; TEMP2010_5MIN ; TEMP2010_30MIN ; TEMP2010_60MIN ; TEMP2010_120MIN ; TEMP2010_121MIN ; TEMP2010_0MIN ;PDOMC2010;PDOMM2010
355030819;CAPAO REDONDO;UberX;10723;2361240;220;92,00673295;92,01531407;160;46,7198555957;371;1;541,48;13,85;290943;21006,7148;96052;1948;18141;0,540070555;78,5483870968;0,01;0,07;0,12;0,13;0,04;0,62;0,113015479;0,38557604
355030820;CARRAO;UberX;5795;1018740;175;72,03776179;72,05019496;108;32633,7563451777;143;0;1236,33;7,88;84735;10753,17259;28969;2500;26499;0,174025288;49,9193548387;0,03;0,1;0,11;0,08;0,01;0,67;0,070658404;0,66655829
355030821;CASA VERDE;UberX;5019;970800;193;83,69412772;83,7108065;90;35243,3380084151;205;0;1127,91;7,13;86009;12062,97335;28322;2366;27952;0,293186012;28,4677419355;0,02;0,09;0,1;0,03;0;0,75;0,101208763;0,583705312
355030822;CIDADE ADEMAR;UberX;9280;2140920;230;96,4764014;96,48679868;134;47481,9524200164;308;0;648,91;12,19;282224;23152,09188;92396;2491;21176;0,5004706;52,4193548387;0,01;0,07;0,12;0,09;0,01;0,7;0,101982845;0,417638495
355030823;CIDADE DUTRA;UberX;21279;5709960;268;134,544625;134,5509482;136;30118,110516934;300;0;687,45;28,05;201462;7182,245989;64083;2393;30813;0,455949683;65,6451612903;0,01;0,09;0,13;0,11;0,02;0,64;0,100606818;0,494831616
355030824;CIDADE LIDER;UberX;8070;1759980;218;92,82389007;92,83539384;80;23649,8578199052;239;0;690,34;10,55;133606;12664,07583;42931;1678;18032;0,389195637;58,7903225806;0,02;0,07;0,13;0,09;0,02;0,67;0,081607778;0,535445663
355030825;CIDADE TIRADENTES;UberX;11349;3169080;279;138,8272769;138,8395105;78;24906,3492063492;342;0;407,03;15,12;230610;15251,98413;73703;777;8108;0,561705307;74,9193548387;0,01;0,04;0,06;0,12;0,06;0,72;0,066260448;0,345906058
355030826;CONSOLACAO;UberX;2674;500640;187;81,57850533;81,60902479;124;74338,3597883598;71;4;3787,88;3,78;57437;15194,97354;28722;5024;93720;0,106702693;43,1451612903;0,03;0,16;0,12;0,04;0,01;0,64;0,052817496;0,612915395
355030827;CURSINO;UberX;9067;2029380;223;108,3351354;108,347085;66;16379,9170124481;211;1;1487,73;12,05;112963;9374,522822;38776;2301;23032;0,246874083;36,8548387097;0,02;0,11;0,13;0,04;0;0,7;0,092720297;0,647420021
355030828;ERMELINO MATARAZZO;UberX;7073;1659180;234;140,8024576;140,8223674;44;23202,905027933;192;0;635,16;8,95;117821;13164,35754;38191;1487;13715;0,430891375;64,2741935484;0,02;0,09;0,12;0,11;0,02;0,65;0,071615985;0,482846344
355030829;FREGUESIA DO O;UberX;7587;1687200;222;97,46909978;97,48194833;142;35958,431018936;282;0;975,95;11,09;140561;12674,57169;47046;2553;28921;0,300259262;54,1935483871;0,02;0,1;0,14;0,08;0,01;0,66;0,097025426;0,576880199
355030830;GRAJAU;UberX;60282;34686240;575;320,0373489;320,042658;129;7257,4408300011;518;0;450,7;92,53;384203;4152,199287;121062;2051;20887;0,569185016;81,7741935484;0,01;0,05;0,09;0,11;0,07;0,67;0,099279367;0,374959224
355030831;GUAIANASES;UberX;6790;1669680;245;110,5489155;110,565199;86;30701,8475750577;167;0;515,6;8,66;108449;12522,97921;34668;802;7141;0,515510212;67,3387096774;0,01;0,06;0,1;0,12;0,03;0,69;0,070232863;0,387187487
355030833;IGUATEMI;UberX;14949;5701020;381;179,5073869;179,5193957;63;14273,2243229433;172;0;426,41;19,57;145317;7425,498212;45037;815;6990;0,509587818;79,9193548387;0,02;0,05;0,09;0,12;0,06;0,65;0,079879698;0,427324499
