id,xmin,xmax,ymin,ymax,sumid,sumid_2,sumAREA_M,sumPOPULACAO,sumareareal,sum%area,sumpop_real,count
336,313389.36257,314389.36257,7408187.56918,7409187.56918,1008.00000,2854.00000,2213316.45000,835.00000,519162.92480,0.36528,132.50953,3.00000
337,314389.36257,315389.36257,7408187.56918,7409187.56918,2022.00000,7020.00000,5216360.86000,1001.00000,1000000.00049,2.59353,287.81031,6.00000
338,315389.36257,316389.36257,7408187.56918,7409187.56918,2704.00000,8867.00000,10167603.89000,1496.00000,999999.99951,2.59485,338.43554,8.00000
339,316389.36257,317389.36257,7408187.56918,7409187.56918,2373.00000,7057.00000,9913022.03000,1348.00000,1000000.00000,2.02726,64.38521,7.00000
340,317389.36257,318389.36257,7408187.56918,7409187.56918,2380.00000,5763.00000,10377670.17000,498.00000,1000000.00049,2.74163,154.86199,7.00000
341,318389.36257,319389.36257,7408187.56918,7409187.56918,1023.00000,2843.00000,4368638.96000,238.00000,999999.99951,0.48903,25.44251,3.00000
342,319389.36257,320389.36257,7408187.56918,7409187.56918,1368.00000,4679.00000,6000790.17000,238.00000,1000000.00000,0.80752,60.26756,4.00000
343,320389.36257,321389.36257,7408187.56918,7409187.56918,5831.00000,240259.00000,3179133.74000,9141.00000,1000000.00049,10.91216,5212.95974,17.00000
344,321389.36257,322389.36257,7408187.56918,7409187.56918,2752.00000,38254.00000,4913959.43000,1320.00000,999999.99951,1.77460,204.09750,8.00000
345,322389.36257,323389.36257,7408187.56918,7409187.56918,2415.00000,10162.00000,4662573.49000,1698.00000,1000000.00049,1.65503,87.47369,7.00000
346,323389.36257,324389.36257,7408187.56918,7409187.56918,5190.00000,20993.00000,4358321.79000,3766.00000,999999.99951,7.41182,2222.21372,15.00000
347,324389.36257,325389.36257,7408187.56918,7409187.56918,6940.00000,33531.00000,3026499.78000,13622.00000,1000000.00000,9.20794,5937.92549,20.00000
348,325389.36257,326389.36257,7408187.56918,7409187.56918,3828.00000,4797.00000,9542424.92000,2738.00000,938330.90771,3.70421,332.65856,11.00000
349,326389.36257,327389.36257,7408187.56918,7409187.56918,349.00000,18.00000,6635284.80000,0.00000,353988.27710,0.05335,0.00000,1.00000
350,327389.36257,328389.36257,7408187.56918,7409187.56918,350.00000,18.00000,6635284.80000,0.00000,584789.21094,0.08813,0.00000,1.00000
351,328389.36257,329389.36257,7408187.56918,7409187.56918,702.00000,37.00000,10990856.29000,0.00000,970554.19849,0.18110,0.00000,2.00000
352,329389.36257,330389.36257,7408187.56918,7409187.56918,352.00000,19.00000,4355571.49000,0.00000,520436.59180,0.11949,0.00000,1.00000
353,330389.36257,331389.36257,7408187.56918,7409187.56918,353.00000,19.00000,4355571.49000,0.00000,9481.87329,0.00218,0.00000,1.00000
354,331389.36257,332389.36257,7408187.56918,7409187.56918,354.00000,20.00000,1510186.84000,0.00000,438.25928,0.00029,0.00000,1.00000
355,332389.36257,333389.36257,7408187.56918,7409187.56918,710.00000,42.00000,5005060.58000,53.00000,14906.66675,0.00773,0.08644,2.00000
356,333389.36257,334389.36257,7408187.56918,7409187.56918,712.00000,45.00000,16217224.88000,53.00000,478965.81787,0.13338,6.99549,2.00000
357,334389.36257,335389.36257,7408187.56918,7409187.56918,1071.00000,645.00000,16769371.08000,145.00000,1000000.00000,0.11645,3.33645,3.00000
358,335389.36257,336389.36257,7408187.56918,7409187.56918,1432.00000,1825.00000,14710923.85000,103.00000,999999.99951,1.25446,13.54014,4.00000
359,336389.36257,337389.36257,7408187.56918,7409187.56918,2513.00000,7971.00000,15553696.69000,1387.00000,1000000.00049,2.30486,336.60851,7.00000
